,userid,number_of_courses,average_marks,average_login,weekend_login,weekday_login,midnight_login,early_morning_login,late_morning_login,afternoon_login,evening_login,night_login,no_of_viewed_courses,no_of_attendance_taken,no_of_all_files_downloaded,no_of_assignments,no_of_forum_created,number_of_quizzes,no_of_quizzes_completed,no_of_quizzes_attempt
178,1386.0,4.0,76.75,13.0,3.0,10.0,2.75,5.0,0.5,4.0,0.75,0.0,40.25,0.0,0.0,2.5,0.25,0.0,0.0,0.0
179,1388.0,1.0,84.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,1389.0,5.0,65.32000000000001,14.2,3.2,11.0,4.4,2.6,1.6,5.0,0.4,0.2,38.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
181,1390.0,4.0,84.025,12.5,1.75,10.75,2.75,5.25,2.25,2.25,0.0,0.0,39.75,0.0,0.25,2.0,0.5,0.0,0.0,0.0
182,1392.0,4.0,74.6,15.0,3.5,11.5,4.5,2.25,4.5,2.25,1.0,0.5,53.75,0.0,0.0,0.75,0.0,0.0,0.0,0.0
183,1393.0,4.0,88.075,16.25,3.75,12.5,5.75,6.25,0.75,3.5,0.0,0.0,40.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
184,1394.0,5.0,69.772,16.0,3.0,13.0,6.4,4.0,1.6,3.8,0.0,0.2,57.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0
185,1395.0,4.0,76.4625,14.25,1.75,12.5,7.25,2.5,1.0,3.5,0.0,0.0,154.75,0.0,0.0,0.25,0.0,2.0,0.5,18.25
186,1396.0,5.0,78.92,13.0,2.4,10.6,2.2,3.4,2.0,2.4,2.0,1.0,62.4,0.0,0.4,1.0,0.0,2.6,0.6,15.4
187,1397.0,6.0,89.23666666666666,5.833333333333333,1.1666666666666667,4.666666666666667,3.1666666666666665,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.6666666666666666,20.666666666666668,0.0,0.0,0.3333333333333333,0.1666666666666666,3.0,0.6666666666666666,12.666666666666666
188,1398.0,4.0,81.1,16.75,5.75,11.0,5.0,2.75,3.5,4.75,0.5,0.25,69.75,0.0,1.0,1.0,0.0,2.25,0.25,0.25
189,1399.0,3.0,86.34333333333332,16.333333333333332,5.0,11.333333333333334,4.0,3.6666666666666665,0.6666666666666666,6.333333333333333,0.6666666666666666,1.0,36.333333333333336,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
190,1400.0,4.0,76.325,7.0,1.25,5.75,1.75,1.75,1.5,1.75,0.0,0.25,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,1402.0,5.0,74.468,32.8,4.2,28.6,9.6,7.8,3.2,8.4,2.8,1.0,104.8,0.0,0.2,1.6,0.0,0.0,0.0,0.0
192,1403.0,4.0,81.47,29.25,5.0,24.25,12.0,7.5,2.0,5.5,0.75,1.5,121.25,0.0,0.0,2.75,0.0,0.0,0.0,0.0
193,1404.0,4.0,75.48,31.0,10.0,21.0,9.5,4.25,3.75,9.5,2.5,1.5,129.25,0.0,0.25,2.25,0.25,0.0,0.0,0.0
194,1405.0,1.0,83.0,10.0,2.0,8.0,4.0,1.0,1.0,3.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,1406.0,1.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,1407.0,1.0,76.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,1409.0,3.0,65.5,12.333333333333334,2.333333333333333,10.0,3.333333333333333,2.333333333333333,1.0,2.6666666666666665,2.0,1.0,37.66666666666666,0.3333333333333333,3.0,1.0,0.0,0.0,0.0,0.0
198,1410.0,4.0,82.9375,24.25,4.0,20.25,5.0,9.75,2.5,6.75,0.0,0.25,95.25,0.0,0.0,2.25,0.0,0.0,0.0,0.0
199,1412.0,5.0,75.8,13.8,2.2,11.6,3.4,2.2,2.6,2.6,0.8,2.2,27.8,0.0,0.0,0.6,0.0,0.0,0.0,0.0
